min_position,ask_size,final_pnl,max_drawdown,peak_pnl,trough_pnl,day_0_pnl,day_1_pnl,day_2_pnl
61,12,228194.0,462.0,228656.0,-420.0,76248.0,75843.0,76103.0
62,12,230068.0,462.0,230530.0,-421.0,76846.5,76474.5,76747.0
63,12,231705.0,462.0,232167.0,-429.0,77358.0,76989.0,77358.0
64,12,233281.0,462.0,233743.0,-437.0,77797.0,77543.0,77941.0
65,12,234812.0,462.0,235274.0,-445.0,78303.0,77990.0,78519.0
66,12,236386.0,462.0,236848.0,-420.0,78849.5,78467.5,79069.0
67,12,237952.0,469.0,238421.0,-478.5,79288.5,79066.5,79597.0
68,12,239303.0,476.0,239779.0,-478.5,79648.5,79472.5,80182.0
69,12,240756.0,483.0,241239.0,-478.5,80209.5,79873.5,80673.0
70,12,242056.0,490.0,242546.0,-478.5,80608.5,80257.5,81190.0
71,12,243383.0,497.0,243880.0,-484.0,80985.5,80688.5,81709.0
72,12,244588.0,504.0,245092.0,-492.0,81235.5,81253.5,82099.0
73,12,245763.0,511.0,246274.0,-500.0,81694.5,81721.5,82347.0
74,12,246831.0,518.0,247349.0,-508.0,82091.0,81936.0,82804.0
75,12,246960.0,525.0,247485.0,-478.5,82182.0,81834.0,82944.0
76,12,246827.0,532.0,247359.0,-519.0,82195.0,81821.0,82811.0
77,12,245817.0,539.0,246356.0,-527.0,81953.0,81571.0,82293.0
78,12,243721.0,546.0,244267.0,-535.0,81185.0,80954.0,81582.0
79,12,241625.0,553.0,242178.0,-543.0,80417.0,80337.0,80871.0
