timestamp,portfolio_pnl,drawdown,PEBBLES_XS,PEBBLES_S,PEBBLES_M,PEBBLES_L,PEBBLES_XL
2139600,39596.0,9.0,-2244.0,28909.0,-7911.0,13516.0,7326.0
2139700,39599.0,6.0,-2280.0,29011.0,-7854.0,13639.0,7083.0
2139800,39602.0,3.0,-2418.0,28837.0,-7713.0,13612.0,7284.0
2139900,39599.0,6.0,-2364.0,28867.0,-7614.0,13570.0,7140.0
2140000,39602.0,3.0,-2460.0,28906.0,-7659.0,13534.0,7281.0
2140100,39599.0,6.0,-2403.0,28915.0,-7824.0,13537.0,7374.0
2140200,39596.0,9.0,-2388.0,28963.0,-7803.0,13612.0,7212.0
2140300,39593.0,12.0,-2448.0,28957.0,-7920.0,13612.0,7392.0
2140400,39599.0,6.0,-2340.0,28957.0,-7872.0,13696.0,7158.0
2140500,39599.0,6.0,-2274.0,29032.0,-7869.0,13765.0,6945.0
2140600,39602.0,3.0,-2196.0,28795.0,-7995.0,13774.0,7224.0
2140700,39602.0,3.0,-2325.0,28564.0,-7968.0,13843.0,7488.0
2140800,39599.0,6.0,-2439.0,28459.0,-7821.0,13882.0,7518.0
2140900,39596.0,9.0,-2388.0,28489.0,-7830.0,13834.0,7491.0
2141000,39599.0,6.0,-2256.0,28450.0,-7860.0,13954.0,7311.0
2141100,39602.0,3.0,-2268.0,28429.0,-7746.0,13969.0,7218.0
2141200,39602.0,3.0,-2298.0,28594.0,-7686.0,13996.0,6996.0
2141300,39602.0,3.0,-2424.0,28567.0,-7617.0,13966.0,7110.0
2141400,39602.0,3.0,-2436.0,28579.0,-7455.0,13981.0,6933.0
2141500,39602.0,3.0,-2460.0,28681.0,-7449.0,14026.0,6804.0
2141600,39599.0,6.0,-2493.0,28681.0,-7467.0,13996.0,6882.0
2141700,39593.0,12.0,-2556.0,28831.0,-7512.0,13870.0,6960.0
2141800,39596.0,9.0,-2544.0,28711.0,-7458.0,13786.0,7101.0
2141900,39599.0,6.0,-2649.0,28717.0,-7668.0,13777.0,7422.0
2142000,39602.0,3.0,-2685.0,28678.0,-7647.0,13636.0,7620.0
2142100,39596.0,9.0,-2730.0,28735.0,-7623.0,13690.0,7524.0
2142200,39599.0,6.0,-2778.0,28603.0,-7677.0,13720.0,7731.0
2142300,39596.0,9.0,-2832.0,28825.0,-7698.0,13816.0,7485.0
2142400,39599.0,6.0,-2886.0,28918.0,-7848.0,13744.0,7671.0
2142500,39599.0,6.0,-2892.0,28816.0,-7716.0,13660.0,7731.0
2142600,39599.0,6.0,-2694.0,28630.0,-7746.0,13738.0,7671.0
2142700,39602.0,3.0,-2718.0,28489.0,-7680.0,13630.0,7881.0
2142800,39596.0,9.0,-2772.0,28609.0,-7704.0,13486.0,7977.0
2142900,39605.0,0.0,-2958.0,28777.0,-7764.0,13534.0,8016.0
2143000,39596.0,9.0,-2850.0,28843.0,-7740.0,13546.0,7797.0
2143100,39596.0,9.0,-2946.0,28861.0,-7656.0,13594.0,7743.0
2143200,39599.0,6.0,-3108.0,28873.0,-7587.0,13774.0,7647.0
2143300,39605.0,0.0,-3282.0,28762.0,-7674.0,13738.0,8061.0
2143400,39599.0,6.0,-3294.0,28789.0,-7680.0,13717.0,8067.0
2143500,39599.0,6.0,-3348.0,28927.0,-7701.0,13732.0,7989.0
2143600,39599.0,6.0,-3306.0,28858.0,-7473.0,13747.0,7773.0
2143700,39596.0,9.0,-3294.0,28897.0,-7596.0,13846.0,7743.0
2143800,39596.0,9.0,-3324.0,28951.0,-7689.0,13930.0,7728.0
2143900,39596.0,9.0,-3222.0,28990.0,-7647.0,14038.0,7437.0
2144000,39599.0,6.0,-3138.0,29077.0,-7728.0,14149.0,7239.0
