SPAN,D,W,final_pnl,sharpe
3000.0,60.0,20.0,-120825.0,-3.667208102415589
3000.0,80.0,20.0,-51893.0,-2.0511107382028344
3000.0,120.0,20.0,-5077.0,-0.3058657372915312
3000.0,100.0,20.0,-21768.0,-1.0753385093141903
3000.0,140.0,20.0,3038.0,0.21525011646821504
3000.0,160.0,20.0,7523.0,0.6108414993885093
3000.0,60.0,26.0,-58040.0,-1.7768629023676947
3000.0,80.0,26.0,-13733.0,-0.5497082776157042
3000.0,100.0,26.0,5019.0,0.25340553062703886
3000.0,120.0,26.0,13050.0,0.8071039434119222
3000.0,160.0,26.0,15734.0,1.3382675401168334
3000.0,140.0,26.0,16178.0,1.1881375980728681
3000.0,60.0,32.0,-20956.0,-0.6523456634676874
3000.0,80.0,32.0,8521.0,0.34674712042301464
3000.0,100.0,32.0,18321.0,0.9506802672833221
3000.0,120.0,32.0,22884.0,1.4535294644134156
3000.0,140.0,32.0,20277.0,1.5791073568898337
3000.0,160.0,32.0,17615.0,1.558010741806558
3000.0,60.0,38.0,2413.0,0.0758768036059324
3000.0,80.0,38.0,22356.0,0.9345712527453173
3000.0,120.0,38.0,26327.0,1.7402905604096996
3000.0,100.0,38.0,26252.0,1.393912393432769
3000.0,140.0,38.0,21567.0,1.7054277841796674
3000.0,80.0,44.0,31562.0,1.34254257859183
3000.0,160.0,38.0,16765.0,1.5294027125793024
3000.0,60.0,44.0,17581.0,0.5645850226238294
3000.0,120.0,44.0,25626.0,1.7215621126584857
3000.0,100.0,44.0,29439.0,1.612385023644181
3000.0,140.0,44.0,19741.0,1.6034768118600524
3000.0,160.0,44.0,16495.0,1.5685269823733734
10000.0,60.0,20.0,-88734.0,-2.4160223586364538
10000.0,80.0,20.0,-31376.0,-1.0881608125992344
10000.0,100.0,20.0,-3601.0,-0.15494931882232754
10000.0,120.0,20.0,9006.0,0.46634701403262335
10000.0,160.0,20.0,17990.0,1.2723442249311163
10000.0,80.0,26.0,6826.0,0.23988834965671765
10000.0,140.0,20.0,14951.0,0.9161304274975055
10000.0,60.0,26.0,-28595.0,-0.7895175116750804
10000.0,120.0,26.0,26588.0,1.4088824564857803
10000.0,100.0,26.0,21274.0,0.9383943299964678
10000.0,160.0,26.0,25688.0,1.8569206010129602
10000.0,140.0,26.0,28254.0,1.7715108180514547
10000.0,100.0,32.0,35025.0,1.5605917386374526
10000.0,80.0,32.0,27346.0,0.9753110744267843
10000.0,60.0,32.0,5777.0,0.16092758322895356
10000.0,120.0,32.0,34908.0,1.8933332246227117
10000.0,80.0,38.0,40954.0,1.4897390104063093
10000.0,60.0,38.0,26986.0,0.767350184681401
10000.0,140.0,32.0,32978.0,2.1490969813410685
10000.0,160.0,32.0,27736.0,2.088335994664724
10000.0,160.0,38.0,23844.0,1.8529526360605235
10000.0,140.0,38.0,32226.0,2.1706221108271184
10000.0,100.0,38.0,40637.0,1.858241761276837
10000.0,120.0,38.0,37068.0,2.0651815936927735
10000.0,60.0,44.0,41947.0,1.2154332225053732
10000.0,100.0,44.0,45368.0,2.1172113514363735
10000.0,80.0,44.0,48499.0,1.7856819605293892
10000.0,120.0,44.0,37259.0,2.1338308720445633
10000.0,140.0,44.0,28212.0,1.894826842408448
10000.0,160.0,44.0,23726.0,1.882166731935458
