round,days,min_position,phase2_sell_min_delta,phase2_buy_min_delta,final_pnl
1,"-2,-1,0",71,4,0,243270.0
1,"-2,-1,0",70,4,0,241867.0
1,"-2,-1,0",72,4,0,244613.0
1,"-2,-1,0",73,4,0,245827.0
1,"-2,-1,0",74,4,0,246308.0
1,"-2,-1,0",75,4,0,247138.0
1,"-2,-1,0",76,4,0,246898.0
1,"-2,-1,0",77,4,0,245931.0
1,"-2,-1,0",80,4,0,239529.0
1,"-2,-1,0",78,4,0,243933.0
1,"-2,-1,0",79,4,0,241731.0
1,"-2,-1,0",65,5,0,234288.0
1,"-2,-1,0",66,5,0,236172.0
1,"-2,-1,0",67,5,0,237477.0
1,"-2,-1,0",68,5,0,239241.0
1,"-2,-1,0",69,5,0,240530.0
1,"-2,-1,0",70,5,0,241867.0
1,"-2,-1,0",71,5,0,243270.0
1,"-2,-1,0",72,5,0,244613.0
1,"-2,-1,0",73,5,0,245827.0
1,"-2,-1,0",74,5,0,246308.0
1,"-2,-1,0",75,5,0,247138.0
1,"-2,-1,0",76,5,0,246898.0
1,"-2,-1,0",77,5,0,245931.0
1,"-2,-1,0",78,5,0,243933.0
1,"-2,-1,0",80,5,0,239529.0
1,"-2,-1,0",79,5,0,241731.0
1,"-2,-1,0",65,6,0,234489.0
1,"-2,-1,0",66,6,0,236391.0
1,"-2,-1,0",67,6,0,237586.0
1,"-2,-1,0",68,6,0,239146.0
1,"-2,-1,0",69,6,0,240365.0
1,"-2,-1,0",70,6,0,241477.0
1,"-2,-1,0",71,6,0,242802.0
1,"-2,-1,0",72,6,0,243888.0
1,"-2,-1,0",73,6,0,245148.0
1,"-2,-1,0",74,6,0,245692.0
1,"-2,-1,0",75,6,0,246271.0
1,"-2,-1,0",76,6,0,246024.0
1,"-2,-1,0",77,6,0,245187.0
1,"-2,-1,0",78,6,0,243471.0
1,"-2,-1,0",80,6,0,239529.0
1,"-2,-1,0",79,6,0,241500.0
1,"-2,-1,0",65,7,0,234948.0
1,"-2,-1,0",66,7,0,236878.0
1,"-2,-1,0",67,7,0,237956.0
1,"-2,-1,0",68,7,0,239014.0
1,"-2,-1,0",69,7,0,239991.0
1,"-2,-1,0",70,7,0,240614.0
1,"-2,-1,0",71,7,0,241889.0
1,"-2,-1,0",72,7,0,242461.0
1,"-2,-1,0",73,7,0,243694.0
1,"-2,-1,0",74,7,0,244442.0
1,"-2,-1,0",75,7,0,245076.0
1,"-2,-1,0",76,7,0,244857.0
1,"-2,-1,0",77,7,0,244092.0
1,"-2,-1,0",80,7,0,239529.0
1,"-2,-1,0",78,7,0,242797.0
1,"-2,-1,0",79,7,0,241163.0
1,"-2,-1,0",65,0,1,234353.0
1,"-2,-1,0",66,0,1,236222.0
1,"-2,-1,0",67,0,1,237541.0
1,"-2,-1,0",68,0,1,239284.0
1,"-2,-1,0",69,0,1,240607.0
1,"-2,-1,0",70,0,1,241832.0
1,"-2,-1,0",71,0,1,243284.0
1,"-2,-1,0",72,0,1,244630.0
1,"-2,-1,0",73,0,1,245858.0
1,"-2,-1,0",74,0,1,246347.0
1,"-2,-1,0",75,0,1,247180.0
1,"-2,-1,0",76,0,1,246934.0
1,"-2,-1,0",77,0,1,245940.0
1,"-2,-1,0",78,0,1,243939.0
1,"-2,-1,0",80,0,1,239529.0
1,"-2,-1,0",79,0,1,241734.0
1,"-2,-1,0",65,1,1,234353.0
1,"-2,-1,0",66,1,1,236222.0
1,"-2,-1,0",67,1,1,237541.0
1,"-2,-1,0",68,1,1,239284.0
1,"-2,-1,0",69,1,1,240607.0
1,"-2,-1,0",70,1,1,241832.0
1,"-2,-1,0",71,1,1,243284.0
1,"-2,-1,0",72,1,1,244630.0
1,"-2,-1,0",73,1,1,245858.0
1,"-2,-1,0",74,1,1,246347.0
1,"-2,-1,0",75,1,1,247180.0
1,"-2,-1,0",77,1,1,245940.0
1,"-2,-1,0",76,1,1,246934.0
1,"-2,-1,0",78,1,1,243939.0
1,"-2,-1,0",79,1,1,241734.0
1,"-2,-1,0",80,1,1,239529.0
1,"-2,-1,0",65,2,1,234245.0
1,"-2,-1,0",66,2,1,236131.0
1,"-2,-1,0",67,2,1,237459.0
1,"-2,-1,0",68,2,1,239202.0
1,"-2,-1,0",69,2,1,240496.0
1,"-2,-1,0",70,2,1,241838.0
1,"-2,-1,0",71,2,1,243246.0
1,"-2,-1,0",72,2,1,244579.0
1,"-2,-1,0",73,2,1,245807.0
1,"-2,-1,0",74,2,1,246288.0
1,"-2,-1,0",75,2,1,247133.0
1,"-2,-1,0",76,2,1,246894.0
1,"-2,-1,0",77,2,1,245928.0
1,"-2,-1,0",78,2,1,243931.0
1,"-2,-1,0",80,2,1,239529.0
1,"-2,-1,0",79,2,1,241730.0
1,"-2,-1,0",65,3,1,234288.0
1,"-2,-1,0",66,3,1,236172.0
1,"-2,-1,0",67,3,1,237477.0
1,"-2,-1,0",68,3,1,239241.0
1,"-2,-1,0",69,3,1,240530.0
1,"-2,-1,0",70,3,1,241867.0
1,"-2,-1,0",71,3,1,243270.0
1,"-2,-1,0",72,3,1,244613.0
1,"-2,-1,0",73,3,1,245827.0
1,"-2,-1,0",74,3,1,246308.0
1,"-2,-1,0",75,3,1,247138.0
1,"-2,-1,0",76,3,1,246898.0
1,"-2,-1,0",78,3,1,243933.0
1,"-2,-1,0",77,3,1,245931.0
1,"-2,-1,0",80,3,1,239529.0
1,"-2,-1,0",79,3,1,241731.0
1,"-2,-1,0",65,4,1,234288.0
1,"-2,-1,0",66,4,1,236172.0
1,"-2,-1,0",67,4,1,237477.0
1,"-2,-1,0",68,4,1,239241.0
1,"-2,-1,0",69,4,1,240530.0
1,"-2,-1,0",71,4,1,243270.0
1,"-2,-1,0",70,4,1,241867.0
1,"-2,-1,0",72,4,1,244613.0
1,"-2,-1,0",73,4,1,245827.0
1,"-2,-1,0",74,4,1,246308.0
1,"-2,-1,0",75,4,1,247138.0
1,"-2,-1,0",76,4,1,246898.0
1,"-2,-1,0",80,4,1,239529.0
1,"-2,-1,0",78,4,1,243933.0
1,"-2,-1,0",77,4,1,245931.0
1,"-2,-1,0",79,4,1,241731.0
1,"-2,-1,0",65,5,1,234288.0
1,"-2,-1,0",66,5,1,236172.0
1,"-2,-1,0",67,5,1,237477.0
1,"-2,-1,0",68,5,1,239241.0
1,"-2,-1,0",69,5,1,240530.0
1,"-2,-1,0",70,5,1,241867.0
1,"-2,-1,0",71,5,1,243270.0
1,"-2,-1,0",72,5,1,244613.0
1,"-2,-1,0",74,5,1,246308.0
1,"-2,-1,0",73,5,1,245827.0
1,"-2,-1,0",75,5,1,247138.0
1,"-2,-1,0",76,5,1,246898.0
1,"-2,-1,0",77,5,1,245931.0
1,"-2,-1,0",78,5,1,243933.0
1,"-2,-1,0",80,5,1,239529.0
1,"-2,-1,0",79,5,1,241731.0
1,"-2,-1,0",65,6,1,234489.0
1,"-2,-1,0",66,6,1,236391.0
1,"-2,-1,0",67,6,1,237586.0
1,"-2,-1,0",68,6,1,239146.0
1,"-2,-1,0",69,6,1,240365.0
1,"-2,-1,0",70,6,1,241477.0
1,"-2,-1,0",71,6,1,242802.0
1,"-2,-1,0",72,6,1,243888.0
1,"-2,-1,0",73,6,1,245148.0
1,"-2,-1,0",74,6,1,245692.0
1,"-2,-1,0",75,6,1,246271.0
1,"-2,-1,0",76,6,1,246024.0
1,"-2,-1,0",77,6,1,245187.0
1,"-2,-1,0",78,6,1,243471.0
1,"-2,-1,0",80,6,1,239529.0
1,"-2,-1,0",79,6,1,241500.0
1,"-2,-1,0",65,7,1,234948.0
1,"-2,-1,0",66,7,1,236878.0
1,"-2,-1,0",67,7,1,237956.0
1,"-2,-1,0",68,7,1,239014.0
1,"-2,-1,0",69,7,1,239991.0
1,"-2,-1,0",70,7,1,240614.0
1,"-2,-1,0",71,7,1,241889.0
1,"-2,-1,0",72,7,1,242461.0
1,"-2,-1,0",73,7,1,243694.0
1,"-2,-1,0",74,7,1,244442.0
1,"-2,-1,0",75,7,1,245076.0
1,"-2,-1,0",76,7,1,244857.0
1,"-2,-1,0",77,7,1,244092.0
1,"-2,-1,0",78,7,1,242797.0
1,"-2,-1,0",79,7,1,241163.0
1,"-2,-1,0",80,7,1,239529.0
1,"-2,-1,0",65,0,2,234353.0
1,"-2,-1,0",66,0,2,236222.0
1,"-2,-1,0",67,0,2,237541.0
1,"-2,-1,0",68,0,2,239284.0
1,"-2,-1,0",69,0,2,240607.0
1,"-2,-1,0",70,0,2,241832.0
1,"-2,-1,0",71,0,2,243284.0
1,"-2,-1,0",72,0,2,244630.0
1,"-2,-1,0",73,0,2,245858.0
1,"-2,-1,0",74,0,2,246347.0
1,"-2,-1,0",75,0,2,247180.0
1,"-2,-1,0",76,0,2,246934.0
1,"-2,-1,0",77,0,2,245940.0
1,"-2,-1,0",79,0,2,241734.0
1,"-2,-1,0",78,0,2,243939.0
1,"-2,-1,0",80,0,2,239529.0
1,"-2,-1,0",65,1,2,234353.0
1,"-2,-1,0",66,1,2,236222.0
1,"-2,-1,0",67,1,2,237541.0
1,"-2,-1,0",68,1,2,239284.0
1,"-2,-1,0",69,1,2,240607.0
1,"-2,-1,0",70,1,2,241832.0
1,"-2,-1,0",72,1,2,244630.0
1,"-2,-1,0",71,1,2,243284.0
1,"-2,-1,0",73,1,2,245858.0
1,"-2,-1,0",74,1,2,246347.0
1,"-2,-1,0",75,1,2,247180.0
1,"-2,-1,0",76,1,2,246934.0
1,"-2,-1,0",77,1,2,245940.0
1,"-2,-1,0",80,1,2,239529.0
1,"-2,-1,0",79,1,2,241734.0
1,"-2,-1,0",78,1,2,243939.0
1,"-2,-1,0",65,2,2,234245.0
1,"-2,-1,0",66,2,2,236131.0
1,"-2,-1,0",67,2,2,237459.0
1,"-2,-1,0",69,2,2,240496.0
1,"-2,-1,0",68,2,2,239202.0
1,"-2,-1,0",70,2,2,241838.0
1,"-2,-1,0",72,2,2,244579.0
1,"-2,-1,0",71,2,2,243246.0
1,"-2,-1,0",73,2,2,245807.0
1,"-2,-1,0",75,2,2,247133.0
1,"-2,-1,0",74,2,2,246288.0
1,"-2,-1,0",76,2,2,246894.0
1,"-2,-1,0",77,2,2,245928.0
1,"-2,-1,0",78,2,2,243931.0
1,"-2,-1,0",79,2,2,241730.0
1,"-2,-1,0",80,2,2,239529.0
1,"-2,-1,0",65,3,2,234288.0
1,"-2,-1,0",66,3,2,236172.0
1,"-2,-1,0",67,3,2,237477.0
1,"-2,-1,0",68,3,2,239241.0
1,"-2,-1,0",69,3,2,240530.0
1,"-2,-1,0",70,3,2,241867.0
1,"-2,-1,0",72,3,2,244613.0
1,"-2,-1,0",71,3,2,243270.0
1,"-2,-1,0",73,3,2,245827.0
1,"-2,-1,0",74,3,2,246308.0
1,"-2,-1,0",75,3,2,247138.0
1,"-2,-1,0",76,3,2,246898.0
1,"-2,-1,0",77,3,2,245931.0
1,"-2,-1,0",78,3,2,243933.0
1,"-2,-1,0",80,3,2,239529.0
1,"-2,-1,0",79,3,2,241731.0
1,"-2,-1,0",65,4,2,234288.0
1,"-2,-1,0",66,4,2,236172.0
1,"-2,-1,0",67,4,2,237477.0
1,"-2,-1,0",69,4,2,240530.0
1,"-2,-1,0",68,4,2,239241.0
1,"-2,-1,0",70,4,2,241867.0
1,"-2,-1,0",71,4,2,243270.0
1,"-2,-1,0",72,4,2,244613.0
1,"-2,-1,0",73,4,2,245827.0
1,"-2,-1,0",74,4,2,246308.0
1,"-2,-1,0",75,4,2,247138.0
1,"-2,-1,0",76,4,2,246898.0
1,"-2,-1,0",77,4,2,245931.0
1,"-2,-1,0",78,4,2,243933.0
1,"-2,-1,0",79,4,2,241731.0
1,"-2,-1,0",80,4,2,239529.0
1,"-2,-1,0",65,5,2,234288.0
1,"-2,-1,0",66,5,2,236172.0
1,"-2,-1,0",67,5,2,237477.0
1,"-2,-1,0",68,5,2,239241.0
1,"-2,-1,0",69,5,2,240530.0
1,"-2,-1,0",70,5,2,241867.0
1,"-2,-1,0",71,5,2,243270.0
1,"-2,-1,0",72,5,2,244613.0
1,"-2,-1,0",73,5,2,245827.0
1,"-2,-1,0",74,5,2,246308.0
1,"-2,-1,0",75,5,2,247138.0
1,"-2,-1,0",76,5,2,246898.0
1,"-2,-1,0",77,5,2,245931.0
1,"-2,-1,0",78,5,2,243933.0
1,"-2,-1,0",80,5,2,239529.0
1,"-2,-1,0",79,5,2,241731.0
1,"-2,-1,0",65,6,2,234489.0
1,"-2,-1,0",66,6,2,236415.0
1,"-2,-1,0",67,6,2,237586.0
1,"-2,-1,0",68,6,2,239146.0
1,"-2,-1,0",69,6,2,240365.0
1,"-2,-1,0",70,6,2,241477.0
1,"-2,-1,0",71,6,2,242802.0
1,"-2,-1,0",72,6,2,243888.0
1,"-2,-1,0",73,6,2,245148.0
1,"-2,-1,0",75,6,2,246271.0
1,"-2,-1,0",74,6,2,245692.0
1,"-2,-1,0",76,6,2,246024.0
1,"-2,-1,0",77,6,2,245187.0
1,"-2,-1,0",78,6,2,243471.0
1,"-2,-1,0",79,6,2,241500.0
1,"-2,-1,0",80,6,2,239529.0
1,"-2,-1,0",65,7,2,234948.0
1,"-2,-1,0",66,7,2,236902.0
1,"-2,-1,0",67,7,2,237956.0
1,"-2,-1,0",68,7,2,239014.0
1,"-2,-1,0",69,7,2,239991.0
1,"-2,-1,0",70,7,2,240614.0
1,"-2,-1,0",71,7,2,241889.0
1,"-2,-1,0",72,7,2,242461.0
1,"-2,-1,0",73,7,2,243694.0
1,"-2,-1,0",74,7,2,244442.0
1,"-2,-1,0",75,7,2,245076.0
1,"-2,-1,0",76,7,2,244857.0
1,"-2,-1,0",77,7,2,244092.0
1,"-2,-1,0",78,7,2,242797.0
1,"-2,-1,0",79,7,2,241163.0
1,"-2,-1,0",80,7,2,239529.0
1,"-2,-1,0",65,0,3,234353.0
1,"-2,-1,0",66,0,3,236135.0
1,"-2,-1,0",67,0,3,237541.0
1,"-2,-1,0",68,0,3,239235.0
1,"-2,-1,0",69,0,3,240558.0
1,"-2,-1,0",70,0,3,241783.0
1,"-2,-1,0",71,0,3,243235.0
1,"-2,-1,0",72,0,3,244581.0
1,"-2,-1,0",73,0,3,245795.0
1,"-2,-1,0",74,0,3,246293.0
1,"-2,-1,0",75,0,3,247135.0
1,"-2,-1,0",76,0,3,246898.0
1,"-2,-1,0",77,0,3,245913.0
1,"-2,-1,0",78,0,3,243921.0
1,"-2,-1,0",79,0,3,241725.0
1,"-2,-1,0",80,0,3,239529.0
1,"-2,-1,0",65,1,3,234353.0
1,"-2,-1,0",66,1,3,236135.0
1,"-2,-1,0",67,1,3,237541.0
1,"-2,-1,0",68,1,3,239235.0
1,"-2,-1,0",69,1,3,240558.0
1,"-2,-1,0",70,1,3,241783.0
1,"-2,-1,0",71,1,3,243235.0
1,"-2,-1,0",72,1,3,244581.0
1,"-2,-1,0",75,1,3,247135.0
1,"-2,-1,0",73,1,3,245795.0
1,"-2,-1,0",74,1,3,246293.0
1,"-2,-1,0",76,1,3,246898.0
1,"-2,-1,0",77,1,3,245913.0
1,"-2,-1,0",78,1,3,243921.0
1,"-2,-1,0",79,1,3,241725.0
1,"-2,-1,0",80,1,3,239529.0
1,"-2,-1,0",65,2,3,234245.0
1,"-2,-1,0",67,2,3,237459.0
1,"-2,-1,0",66,2,3,236044.0
1,"-2,-1,0",68,2,3,239153.0
1,"-2,-1,0",69,2,3,240447.0
1,"-2,-1,0",71,2,3,243197.0
1,"-2,-1,0",70,2,3,241789.0
1,"-2,-1,0",72,2,3,244530.0
1,"-2,-1,0",74,2,3,246234.0
1,"-2,-1,0",73,2,3,245744.0
1,"-2,-1,0",75,2,3,247088.0
1,"-2,-1,0",76,2,3,246858.0
1,"-2,-1,0",77,2,3,245901.0
1,"-2,-1,0",78,2,3,243913.0
1,"-2,-1,0",79,2,3,241721.0
1,"-2,-1,0",80,2,3,239529.0
1,"-2,-1,0",66,3,3,236085.0
1,"-2,-1,0",68,3,3,239192.0
1,"-2,-1,0",67,3,3,237477.0
1,"-2,-1,0",69,3,3,240481.0
1,"-2,-1,0",65,3,3,234288.0
1,"-2,-1,0",70,3,3,241818.0
1,"-2,-1,0",71,3,3,243221.0
1,"-2,-1,0",72,3,3,244564.0
1,"-2,-1,0",73,3,3,245764.0
1,"-2,-1,0",75,3,3,247093.0
1,"-2,-1,0",74,3,3,246254.0
1,"-2,-1,0",77,3,3,245904.0
1,"-2,-1,0",76,3,3,246862.0
1,"-2,-1,0",80,3,3,239529.0
1,"-2,-1,0",78,3,3,243915.0
1,"-2,-1,0",79,3,3,241722.0
1,"-2,-1,0",65,4,3,234288.0
1,"-2,-1,0",66,4,3,236085.0
1,"-2,-1,0",68,4,3,239192.0
1,"-2,-1,0",69,4,3,240481.0
1,"-2,-1,0",67,4,3,237477.0
1,"-2,-1,0",70,4,3,241818.0
1,"-2,-1,0",71,4,3,243221.0
1,"-2,-1,0",72,4,3,244564.0
1,"-2,-1,0",73,4,3,245764.0
1,"-2,-1,0",74,4,3,246254.0
1,"-2,-1,0",75,4,3,247093.0
1,"-2,-1,0",80,4,3,239529.0
1,"-2,-1,0",76,4,3,246862.0
1,"-2,-1,0",79,4,3,241722.0
1,"-2,-1,0",77,4,3,245904.0
1,"-2,-1,0",78,4,3,243915.0
1,"-2,-1,0",65,5,3,234288.0
1,"-2,-1,0",66,5,3,236085.0
1,"-2,-1,0",67,5,3,237477.0
1,"-2,-1,0",68,5,3,239192.0
1,"-2,-1,0",71,5,3,243221.0
1,"-2,-1,0",69,5,3,240481.0
1,"-2,-1,0",70,5,3,241818.0
1,"-2,-1,0",72,5,3,244564.0
1,"-2,-1,0",73,5,3,245764.0
1,"-2,-1,0",74,5,3,246254.0
1,"-2,-1,0",75,5,3,247093.0
1,"-2,-1,0",76,5,3,246862.0
1,"-2,-1,0",80,5,3,239529.0
1,"-2,-1,0",78,5,3,243915.0
1,"-2,-1,0",77,5,3,245904.0
1,"-2,-1,0",79,5,3,241722.0
1,"-2,-1,0",65,6,3,234489.0
1,"-2,-1,0",66,6,3,236328.0
1,"-2,-1,0",67,6,3,237586.0
1,"-2,-1,0",68,6,3,239097.0
1,"-2,-1,0",69,6,3,240316.0
1,"-2,-1,0",70,6,3,241428.0
1,"-2,-1,0",72,6,3,243839.0
1,"-2,-1,0",71,6,3,242753.0
1,"-2,-1,0",73,6,3,245085.0
1,"-2,-1,0",74,6,3,245638.0
1,"-2,-1,0",75,6,3,246226.0
1,"-2,-1,0",76,6,3,245988.0
1,"-2,-1,0",77,6,3,245160.0
1,"-2,-1,0",80,6,3,239529.0
1,"-2,-1,0",78,6,3,243453.0
1,"-2,-1,0",79,6,3,241491.0
1,"-2,-1,0",65,7,3,234962.0
1,"-2,-1,0",66,7,3,236789.0
1,"-2,-1,0",67,7,3,237956.0
1,"-2,-1,0",68,7,3,238965.0
1,"-2,-1,0",69,7,3,239942.0
1,"-2,-1,0",70,7,3,240565.0
1,"-2,-1,0",72,7,3,242412.0
1,"-2,-1,0",71,7,3,241840.0
1,"-2,-1,0",73,7,3,243631.0
1,"-2,-1,0",74,7,3,244388.0
1,"-2,-1,0",75,7,3,245031.0
1,"-2,-1,0",76,7,3,244821.0
1,"-2,-1,0",77,7,3,244065.0
1,"-2,-1,0",78,7,3,242779.0
1,"-2,-1,0",79,7,3,241154.0
1,"-2,-1,0",80,7,3,239529.0
1,"-2,-1,0",65,0,4,234353.0
1,"-2,-1,0",66,0,4,236135.0
1,"-2,-1,0",67,0,4,237541.0
1,"-2,-1,0",68,0,4,239235.0
1,"-2,-1,0",69,0,4,240558.0
1,"-2,-1,0",70,0,4,241783.0
1,"-2,-1,0",72,0,4,244581.0
1,"-2,-1,0",71,0,4,243235.0
1,"-2,-1,0",73,0,4,245795.0
1,"-2,-1,0",74,0,4,246293.0
1,"-2,-1,0",75,0,4,247135.0
1,"-2,-1,0",76,0,4,246898.0
1,"-2,-1,0",77,0,4,245913.0
1,"-2,-1,0",78,0,4,243921.0
1,"-2,-1,0",80,0,4,239529.0
1,"-2,-1,0",79,0,4,241725.0
1,"-2,-1,0",65,1,4,234353.0
1,"-2,-1,0",66,1,4,236135.0
1,"-2,-1,0",67,1,4,237541.0
1,"-2,-1,0",68,1,4,239235.0
1,"-2,-1,0",69,1,4,240558.0
1,"-2,-1,0",70,1,4,241783.0
1,"-2,-1,0",71,1,4,243235.0
1,"-2,-1,0",72,1,4,244581.0
1,"-2,-1,0",73,1,4,245795.0
1,"-2,-1,0",74,1,4,246293.0
1,"-2,-1,0",76,1,4,246898.0
1,"-2,-1,0",75,1,4,247135.0
1,"-2,-1,0",77,1,4,245913.0
1,"-2,-1,0",78,1,4,243921.0
1,"-2,-1,0",80,1,4,239529.0
1,"-2,-1,0",79,1,4,241725.0
1,"-2,-1,0",66,2,4,236044.0
1,"-2,-1,0",65,2,4,234245.0
1,"-2,-1,0",67,2,4,237459.0
1,"-2,-1,0",68,2,4,239153.0
1,"-2,-1,0",69,2,4,240447.0
1,"-2,-1,0",70,2,4,241789.0
1,"-2,-1,0",72,2,4,244530.0
1,"-2,-1,0",71,2,4,243197.0
1,"-2,-1,0",74,2,4,246234.0
1,"-2,-1,0",73,2,4,245744.0
1,"-2,-1,0",76,2,4,246858.0
1,"-2,-1,0",75,2,4,247088.0
1,"-2,-1,0",77,2,4,245901.0
1,"-2,-1,0",78,2,4,243913.0
1,"-2,-1,0",80,2,4,239529.0
1,"-2,-1,0",79,2,4,241721.0
1,"-2,-1,0",65,3,4,234288.0
1,"-2,-1,0",68,3,4,239192.0
1,"-2,-1,0",66,3,4,236085.0
1,"-2,-1,0",67,3,4,237477.0
1,"-2,-1,0",69,3,4,240481.0
1,"-2,-1,0",70,3,4,241818.0
1,"-2,-1,0",71,3,4,243221.0
1,"-2,-1,0",72,3,4,244564.0
1,"-2,-1,0",73,3,4,245764.0
1,"-2,-1,0",74,3,4,246254.0
1,"-2,-1,0",76,3,4,246862.0
1,"-2,-1,0",75,3,4,247093.0
1,"-2,-1,0",77,3,4,245904.0
1,"-2,-1,0",78,3,4,243915.0
1,"-2,-1,0",80,3,4,239529.0
1,"-2,-1,0",79,3,4,241722.0
1,"-2,-1,0",65,4,4,234288.0
1,"-2,-1,0",66,4,4,236085.0
1,"-2,-1,0",68,4,4,239192.0
1,"-2,-1,0",67,4,4,237477.0
1,"-2,-1,0",69,4,4,240481.0
1,"-2,-1,0",70,4,4,241818.0
1,"-2,-1,0",71,4,4,243221.0
1,"-2,-1,0",72,4,4,244564.0
1,"-2,-1,0",73,4,4,245764.0
1,"-2,-1,0",74,4,4,246254.0
1,"-2,-1,0",75,4,4,247093.0
1,"-2,-1,0",76,4,4,246862.0
1,"-2,-1,0",77,4,4,245904.0
1,"-2,-1,0",78,4,4,243915.0
1,"-2,-1,0",80,4,4,239529.0
1,"-2,-1,0",79,4,4,241722.0
1,"-2,-1,0",65,5,4,234288.0
1,"-2,-1,0",66,5,4,236085.0
1,"-2,-1,0",68,5,4,239192.0
1,"-2,-1,0",67,5,4,237477.0
1,"-2,-1,0",69,5,4,240481.0
1,"-2,-1,0",71,5,4,243221.0
1,"-2,-1,0",72,5,4,244564.0
1,"-2,-1,0",70,5,4,241818.0
1,"-2,-1,0",73,5,4,245764.0
1,"-2,-1,0",74,5,4,246254.0
1,"-2,-1,0",75,5,4,247093.0
1,"-2,-1,0",76,5,4,246862.0
1,"-2,-1,0",77,5,4,245904.0
1,"-2,-1,0",80,5,4,239529.0
1,"-2,-1,0",78,5,4,243915.0
1,"-2,-1,0",79,5,4,241722.0
1,"-2,-1,0",65,6,4,234489.0
1,"-2,-1,0",66,6,4,236328.0
1,"-2,-1,0",67,6,4,237586.0
1,"-2,-1,0",68,6,4,239097.0
1,"-2,-1,0",69,6,4,240316.0
1,"-2,-1,0",70,6,4,241428.0
1,"-2,-1,0",71,6,4,242753.0
1,"-2,-1,0",72,6,4,243839.0
1,"-2,-1,0",74,6,4,245638.0
1,"-2,-1,0",73,6,4,245085.0
1,"-2,-1,0",75,6,4,246226.0
1,"-2,-1,0",76,6,4,245988.0
1,"-2,-1,0",77,6,4,245160.0
1,"-2,-1,0",78,6,4,243453.0
1,"-2,-1,0",79,6,4,241491.0
1,"-2,-1,0",80,6,4,239529.0
1,"-2,-1,0",65,7,4,234962.0
1,"-2,-1,0",66,7,4,236789.0
1,"-2,-1,0",67,7,4,237956.0
1,"-2,-1,0",68,7,4,238965.0
1,"-2,-1,0",69,7,4,239942.0
1,"-2,-1,0",70,7,4,240565.0
1,"-2,-1,0",72,7,4,242412.0
1,"-2,-1,0",71,7,4,241840.0
