round,days,DELTA_Q_TARGET,DELTA_Q_EXTREME,DELTA_Q_ULTRA,final_pnl
2,"-1,0,1",19.0,54.0,75.0,62133.0
2,"-1,0,1",19.0,41.0,77.0,62370.0
2,"-1,0,1",24.0,52.0,74.0,62271.0
2,"-1,0,1",19.0,50.0,80.0,62632.0
2,"-1,0,1",18.0,45.0,78.0,61967.0
2,"-1,0,1",21.0,42.0,77.0,62889.0
2,"-1,0,1",19.0,40.0,75.0,62222.0
2,"-1,0,1",19.0,54.0,74.0,62104.0
2,"-1,0,1",19.0,41.0,76.0,62374.0
2,"-1,0,1",23.0,52.0,80.0,62725.0
2,"-1,0,1",19.0,50.0,79.0,62539.0
2,"-1,0,1",18.0,45.0,77.0,61985.0
2,"-1,0,1",21.0,42.0,76.0,62903.0
2,"-1,0,1",18.0,54.0,80.0,61920.0
2,"-1,0,1",19.0,41.0,75.0,62222.0
2,"-1,0,1",23.0,52.0,79.0,62638.0
2,"-1,0,1",19.0,50.0,78.0,62432.0
2,"-1,0,1",18.0,45.0,76.0,62050.0
2,"-1,0,1",21.0,42.0,75.0,62567.0
2,"-1,0,1",18.0,54.0,79.0,61920.0
2,"-1,0,1",19.0,41.0,74.0,62110.0
2,"-1,0,1",23.0,52.0,78.0,62650.0
2,"-1,0,1",19.0,50.0,77.0,62440.0
2,"-1,0,1",18.0,45.0,75.0,61898.0
2,"-1,0,1",21.0,42.0,74.0,62444.0
2,"-1,0,1",18.0,54.0,78.0,61928.0
2,"-1,0,1",18.0,41.0,80.0,62112.0
2,"-1,0,1",23.0,52.0,77.0,62658.0
2,"-1,0,1",19.0,50.0,76.0,62549.0
2,"-1,0,1",18.0,45.0,74.0,61879.0
2,"-1,0,1",20.0,42.0,80.0,62740.0
2,"-1,0,1",18.0,54.0,77.0,61949.0
2,"-1,0,1",18.0,41.0,79.0,61954.0
2,"-1,0,1",23.0,52.0,76.0,62735.0
2,"-1,0,1",19.0,50.0,75.0,62171.0
2,"-1,0,1",24.0,44.0,80.0,62611.0
2,"-1,0,1",20.0,42.0,79.0,62740.0
2,"-1,0,1",21.0,40.0,74.0,62463.0
2,"-1,0,1",18.0,54.0,76.0,61980.0
2,"-1,0,1",18.0,41.0,78.0,61954.0
2,"-1,0,1",23.0,52.0,75.0,62357.0
2,"-1,0,1",19.0,50.0,74.0,62104.0
2,"-1,0,1",24.0,44.0,79.0,62569.0
2,"-1,0,1",20.0,42.0,78.0,62719.0
2,"-1,0,1",18.0,54.0,75.0,61828.0
2,"-1,0,1",18.0,41.0,77.0,61844.0
2,"-1,0,1",23.0,52.0,74.0,62285.0
2,"-1,0,1",18.0,50.0,80.0,61959.0
2,"-1,0,1",24.0,44.0,78.0,62581.0
2,"-1,0,1",20.0,42.0,77.0,62787.0
2,"-1,0,1",18.0,54.0,74.0,61848.0
2,"-1,0,1",18.0,41.0,76.0,62011.0
2,"-1,0,1",22.0,52.0,80.0,62549.0
2,"-1,0,1",18.0,50.0,79.0,61959.0
2,"-1,0,1",24.0,44.0,77.0,62589.0
2,"-1,0,1",20.0,42.0,76.0,62840.0
2,"-1,0,1",24.0,53.0,80.0,62596.0
2,"-1,0,1",18.0,41.0,75.0,61859.0
2,"-1,0,1",20.0,40.0,76.0,62705.0
2,"-1,0,1",22.0,52.0,79.0,62549.0
2,"-1,0,1",18.0,50.0,78.0,61967.0
2,"-1,0,1",24.0,44.0,76.0,62696.0
2,"-1,0,1",20.0,42.0,75.0,62544.0
2,"-1,0,1",24.0,53.0,79.0,62509.0
2,"-1,0,1",18.0,41.0,74.0,61762.0
2,"-1,0,1",18.0,40.0,76.0,62011.0
2,"-1,0,1",22.0,52.0,78.0,62561.0
2,"-1,0,1",18.0,50.0,77.0,61985.0
2,"-1,0,1",24.0,44.0,75.0,62396.0
2,"-1,0,1",20.0,42.0,74.0,62417.0
2,"-1,0,1",20.0,40.0,75.0,62563.0
2,"-1,0,1",24.0,53.0,78.0,62521.0
2,"-1,0,1",24.0,40.0,80.0,62622.0
2,"-1,0,1",22.0,52.0,77.0,62569.0
2,"-1,0,1",18.0,50.0,76.0,62018.0
2,"-1,0,1",24.0,44.0,74.0,62282.0
2,"-1,0,1",19.0,42.0,80.0,62636.0
2,"-1,0,1",24.0,53.0,77.0,62529.0
2,"-1,0,1",24.0,40.0,79.0,62592.0
2,"-1,0,1",22.0,52.0,76.0,62587.0
2,"-1,0,1",18.0,50.0,75.0,61866.0
2,"-1,0,1",23.0,44.0,80.0,62752.0
2,"-1,0,1",19.0,42.0,79.0,62609.0
2,"-1,0,1",24.0,53.0,76.0,62692.0
2,"-1,0,1",24.0,40.0,78.0,62592.0
2,"-1,0,1",22.0,52.0,75.0,62247.0
2,"-1,0,1",18.0,50.0,74.0,61848.0
2,"-1,0,1",23.0,44.0,79.0,62710.0
2,"-1,0,1",19.0,42.0,78.0,62478.0
2,"-1,0,1",24.0,53.0,75.0,62376.0
2,"-1,0,1",24.0,40.0,77.0,62576.0
2,"-1,0,1",22.0,52.0,74.0,62183.0
2,"-1,0,1",24.0,49.0,80.0,62640.0
2,"-1,0,1",23.0,44.0,78.0,62722.0
2,"-1,0,1",19.0,42.0,77.0,62456.0
2,"-1,0,1",24.0,53.0,74.0,62271.0
2,"-1,0,1",24.0,40.0,76.0,62544.0
2,"-1,0,1",18.0,40.0,75.0,61859.0
2,"-1,0,1",21.0,52.0,80.0,62806.0
2,"-1,0,1",24.0,49.0,79.0,62569.0
2,"-1,0,1",23.0,44.0,77.0,62730.0
2,"-1,0,1",19.0,42.0,76.0,62609.0
2,"-1,0,1",23.0,53.0,80.0,62693.0
2,"-1,0,1",24.0,40.0,75.0,62496.0
2,"-1,0,1",21.0,52.0,79.0,62806.0
2,"-1,0,1",24.0,49.0,78.0,62581.0
2,"-1,0,1",23.0,44.0,76.0,62739.0
2,"-1,0,1",19.0,42.0,75.0,62203.0
2,"-1,0,1",23.0,53.0,79.0,62606.0
2,"-1,0,1",24.0,40.0,74.0,62382.0
2,"-1,0,1",21.0,52.0,78.0,62785.0
2,"-1,0,1",24.0,49.0,77.0,62589.0
2,"-1,0,1",23.0,44.0,75.0,62421.0
2,"-1,0,1",19.0,42.0,74.0,62091.0
2,"-1,0,1",22.0,48.0,76.0,62607.0
2,"-1,0,1",21.0,52.0,77.0,62793.0
2,"-1,0,1",24.0,49.0,76.0,62692.0
2,"-1,0,1",20.0,47.0,75.0,62520.0
2,"-1,0,1",23.0,44.0,74.0,62340.0
2,"-1,0,1",22.0,48.0,75.0,62307.0
2,"-1,0,1",21.0,52.0,76.0,62805.0
2,"-1,0,1",24.0,49.0,75.0,62376.0
2,"-1,0,1",20.0,47.0,74.0,62429.0
2,"-1,0,1",22.0,44.0,80.0,62605.0
2,"-1,0,1",22.0,48.0,74.0,62239.0
2,"-1,0,1",21.0,52.0,75.0,62429.0
2,"-1,0,1",24.0,49.0,74.0,62271.0
2,"-1,0,1",19.0,47.0,80.0,62612.0
2,"-1,0,1",22.0,44.0,79.0,62605.0
2,"-1,0,1",21.0,48.0,80.0,62862.0
2,"-1,0,1",23.0,40.0,80.0,62787.0
2,"-1,0,1",21.0,52.0,74.0,62389.0
2,"-1,0,1",23.0,49.0,80.0,62781.0
2,"-1,0,1",19.0,47.0,79.0,62585.0
2,"-1,0,1",22.0,44.0,78.0,62617.0
2,"-1,0,1",21.0,48.0,79.0,62862.0
2,"-1,0,1",23.0,40.0,79.0,62757.0
2,"-1,0,1",20.0,52.0,80.0,62680.0
2,"-1,0,1",23.0,49.0,79.0,62710.0
2,"-1,0,1",19.0,47.0,78.0,62478.0
2,"-1,0,1",22.0,44.0,77.0,62625.0
2,"-1,0,1",21.0,48.0,78.0,62841.0
2,"-1,0,1",23.0,40.0,78.0,62757.0
2,"-1,0,1",20.0,52.0,79.0,62664.0
2,"-1,0,1",23.0,49.0,78.0,62722.0
2,"-1,0,1",19.0,47.0,77.0,62456.0
2,"-1,0,1",22.0,44.0,76.0,62611.0
2,"-1,0,1",21.0,48.0,77.0,62849.0
2,"-1,0,1",23.0,40.0,77.0,62741.0
2,"-1,0,1",20.0,52.0,78.0,62643.0
2,"-1,0,1",23.0,49.0,77.0,62730.0
2,"-1,0,1",19.0,47.0,76.0,62585.0
2,"-1,0,1",22.0,44.0,75.0,62311.0
2,"-1,0,1",21.0,48.0,76.0,62863.0
2,"-1,0,1",23.0,40.0,76.0,62709.0
2,"-1,0,1",20.0,52.0,77.0,62691.0
2,"-1,0,1",23.0,49.0,76.0,62735.0
2,"-1,0,1",19.0,47.0,75.0,62203.0
2,"-1,0,1",22.0,44.0,74.0,62238.0
2,"-1,0,1",21.0,48.0,75.0,62527.0
2,"-1,0,1",23.0,40.0,75.0,62545.0
2,"-1,0,1",20.0,52.0,76.0,62742.0
2,"-1,0,1",23.0,49.0,75.0,62401.0
2,"-1,0,1",19.0,47.0,74.0,62127.0
2,"-1,0,1",21.0,44.0,80.0,62862.0
2,"-1,0,1",21.0,48.0,74.0,62445.0
2,"-1,0,1",23.0,40.0,74.0,62464.0
2,"-1,0,1",20.0,52.0,75.0,62406.0
2,"-1,0,1",23.0,49.0,74.0,62329.0
2,"-1,0,1",18.0,47.0,80.0,61959.0
2,"-1,0,1",21.0,44.0,79.0,62862.0
2,"-1,0,1",20.0,48.0,80.0,62736.0
2,"-1,0,1",22.0,40.0,80.0,62728.0
2,"-1,0,1",20.0,52.0,74.0,62362.0
2,"-1,0,1",22.0,49.0,80.0,62605.0
2,"-1,0,1",18.0,47.0,79.0,61959.0
2,"-1,0,1",21.0,44.0,78.0,62841.0
2,"-1,0,1",20.0,48.0,79.0,62720.0
2,"-1,0,1",22.0,40.0,79.0,62728.0
2,"-1,0,1",19.0,52.0,80.0,62596.0
2,"-1,0,1",22.0,49.0,79.0,62605.0
2,"-1,0,1",18.0,47.0,78.0,61967.0
2,"-1,0,1",21.0,44.0,77.0,62849.0
2,"-1,0,1",20.0,48.0,78.0,62699.0
2,"-1,0,1",22.0,40.0,78.0,62736.0
2,"-1,0,1",19.0,52.0,79.0,62527.0
2,"-1,0,1",22.0,49.0,78.0,62617.0
2,"-1,0,1",18.0,47.0,77.0,61985.0
2,"-1,0,1",21.0,44.0,76.0,62879.0
2,"-1,0,1",20.0,48.0,77.0,62747.0
2,"-1,0,1",22.0,40.0,77.0,62579.0
2,"-1,0,1",19.0,52.0,78.0,62420.0
2,"-1,0,1",22.0,49.0,77.0,62625.0
2,"-1,0,1",18.0,47.0,76.0,62050.0
2,"-1,0,1",21.0,44.0,75.0,62543.0
2,"-1,0,1",20.0,48.0,76.0,62800.0
2,"-1,0,1",22.0,40.0,76.0,62500.0
2,"-1,0,1",19.0,52.0,77.0,62428.0
2,"-1,0,1",22.0,49.0,76.0,62591.0
2,"-1,0,1",18.0,47.0,75.0,61898.0
2,"-1,0,1",21.0,44.0,74.0,62464.0
2,"-1,0,1",20.0,48.0,75.0,62504.0
2,"-1,0,1",22.0,40.0,75.0,62354.0
2,"-1,0,1",19.0,52.0,76.0,62511.0
2,"-1,0,1",22.0,49.0,75.0,62291.0
2,"-1,0,1",18.0,47.0,74.0,61871.0
2,"-1,0,1",20.0,44.0,80.0,62716.0
2,"-1,0,1",20.0,48.0,74.0,62418.0
2,"-1,0,1",22.0,40.0,74.0,62281.0
2,"-1,0,1",19.0,52.0,75.0,62133.0
2,"-1,0,1",22.0,49.0,74.0,62227.0
2,"-1,0,1",24.0,46.0,80.0,62611.0
2,"-1,0,1",20.0,44.0,79.0,62716.0
2,"-1,0,1",19.0,48.0,80.0,62632.0
2,"-1,0,1",21.0,40.0,80.0,62985.0
2,"-1,0,1",19.0,52.0,74.0,62104.0
2,"-1,0,1",21.0,49.0,80.0,62862.0
2,"-1,0,1",24.0,46.0,79.0,62569.0
2,"-1,0,1",20.0,44.0,78.0,62695.0
2,"-1,0,1",19.0,48.0,79.0,62539.0
2,"-1,0,1",21.0,40.0,79.0,62985.0
2,"-1,0,1",18.0,52.0,80.0,61947.0
2,"-1,0,1",21.0,49.0,79.0,62862.0
2,"-1,0,1",24.0,46.0,78.0,62581.0
2,"-1,0,1",20.0,44.0,77.0,62763.0
2,"-1,0,1",19.0,48.0,78.0,62432.0
2,"-1,0,1",18.0,52.0,79.0,61947.0
2,"-1,0,1",21.0,49.0,78.0,62841.0
2,"-1,0,1",24.0,46.0,77.0,62589.0
2,"-1,0,1",20.0,44.0,76.0,62816.0
2,"-1,0,1",21.0,40.0,77.0,62803.0
2,"-1,0,1",19.0,48.0,77.0,62440.0
2,"-1,0,1",18.0,52.0,78.0,61955.0
2,"-1,0,1",21.0,49.0,77.0,62849.0
